2018-01-30 09:26:10.643 [main] INFO  o.s.c.s.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4883b407: startup date [Tue Jan 30 09:26:10 CST 2018]; root of context hierarchy
2018-01-30 09:26:10.873 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-01-30 09:26:11.230 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [autobean.xml]
2018-01-30 09:26:11.256 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [bean_logic.xml]
2018-01-30 09:26:11.504 [main] INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from class path resource [sqlserver-jdbc-connection.properties]
2018-01-30 09:26:11.647 [main] INFO  c.a.jdbc.AbstractDataSourceBean - AtomikosDataSoureBean 'houtai': init...
2018-01-30 09:26:11.673 [main] INFO  c.a.jdbc.AtomikosDataSourceBean - AtomikosDataSoureBean 'houtai': initializing with [ xaDataSourceClassName=com.mysql.jdbc.jdbc2.optional.MysqlXADataSource, uniqueResourceName=houtai, maxPoolSize=100, minPoolSize=10, borrowConnectionTimeout=30, maxIdleTime=60, reapTimeout=0, maintenanceInterval=60, testQuery=select 1, xaProperties=[user=root,password=,url=jdbc:mysql://127.0.0.1:3306/majiang_houtai?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&failOverReadOnly=false], loginTimeout=0, maxLifetime=0]
2018-01-30 09:26:12.296 [main] INFO  c.a.jdbc.AbstractDataSourceBean - AtomikosDataSoureBean 'activity': init...
2018-01-30 09:26:12.298 [main] INFO  c.a.jdbc.AtomikosDataSourceBean - AtomikosDataSoureBean 'activity': initializing with [ xaDataSourceClassName=com.mysql.jdbc.jdbc2.optional.MysqlXADataSource, uniqueResourceName=activity, maxPoolSize=100, minPoolSize=10, borrowConnectionTimeout=30, maxIdleTime=60, reapTimeout=0, maintenanceInterval=60, testQuery=select 1, xaProperties=[user=root,password=,url=jdbc:mysql://127.0.0.1:3306/mj_activity?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&failOverReadOnly=false], loginTimeout=0, maxLifetime=0]
2018-01-30 09:26:12.542 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - Loaded jar:file:/C:/Users/x/.m2/repository/com/atomikos/transactions/4.0.3/transactions-4.0.3.jar!/transactions-defaults.properties
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.allow_subtransactions = true
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.recovery_delay = 10000
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.automatic_resource_registration = true
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.oltp_max_retries = 5
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.client_demarcation = false
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.threaded_2pc = false
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.serial_jta_transactions = true
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.log_base_dir = ./
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.rmi_export_class = none
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.max_actives = 50
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.checkpoint_interval = 500
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.enable_logging = true
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.log_base_name = tmlog
